month,state,handgun,rifle,total,state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2017-03,Idaho,4500,4944,9444,,,,,,,,,,,,,,
2017-03,Illinois,30518,14411,44929,,,,,,,,,,,,,,
2017-03,Indiana,28593,14363,42956,,,,,,,,,,,,,,
2017-03,Iowa,316,3137,3453,,,,,,,,,,,,,,
2017-03,Kansas,7712,5522,13234,,,,,,,,,,,,,,
2017-03,Kentucky,13769,8992,22761,,,,,,,,,,,,,,
2017-03,Louisiana,13973,8092,22065,,,,,,,,,,,,,,
2017-03,Maine,4558,3286,7844,,,,,,,,,,,,,,
2017-03,Mariana Islands,9,1,10,,,,,,,,,,,,,,
2017-03,Maryland,5398,5737,11135,,,,,,,,,,,,,,
2017-03,Massachusetts,7274,3421,10695,,,,,,,,,,,,,,
2017-03,Michigan,16031,11103,27134,,,,,,,,,,,,,,
2017-03,Minnesota,14029,12988,27017,,,,,,,,,,,,,,
2017-03,Mississippi,11586,6508,18094,,,,,,,,,,,,,,
2017-03,Missouri,27625,17931,45556,,,,,,,,,,,,,,
2017-03,Montana,3615,4584,8199,,,,,,,,,,,,,,
2017-03,Nebraska,176,1984,2160,,,,,,,,,,,,,,
2017-03,Nevada,6038,3219,9257,,,,,,,,,,,,,,
2017-03,New Hampshire,7278,3462,10740,,,,,,,,,,,,,,
2017-03,New Jersey,6871,3864,10735,,,,,,,,,,,,,,
2017-03,New Mexico,6752,4571,11323,,,,,,,,,,,,,,
2017-03,New York,12788,15591,28379,,,,,,,,,,,,,,
2017-03,North Carolina,1669,13837,15506,,,,,,,,,,,,,,
2017-03,North Dakota,2013,2371,4384,,,,,,,,,,,,,,
2017-03,Ohio,37474,19925,57399,,,,,,,,,,,,,,
2017-03,Oklahoma,14157,10065,24222,,,,,,,,,,,,,,
2017-03,Oregon,17177,13521,30698,,,,,,,,,,,,,,
2017-03,Pennsylvania,61207,15836,77043,,,,,,,,,,,,,,
2017-03,Puerto Rico,1267,206,1473,,,,,,,,,,,,,,
2017-03,Rhode Island,1424,791,2215,,,,,,,,,,,,,,
2017-03,South Carolina,13284,6749,20033,,,,,,,,,,,,,,
2017-03,South Dakota,3361,3686,7047,,,,,,,,,,,,,,
2017-03,Tennessee,29369,15922,45291,,,,,,,,,,,,,,
2017-03,Texas,55983,34308,90291,,,,,,,,,,,,,,
2017-03,Utah,4401,4010,8411,,,,,,,,,,,,,,
2017-03,Vermont,2007,1793,3800,,,,,,,,,,,,,,
2017-03,Virgin Islands,27,5,32,,,,,,,,,,,,,,
2017-03,Virginia,29873,17754,47627,,,,,,,,,,,,,,
2017-03,Washington,20308,12740,33048,,,,,,,,,,,,,,
2017-03,West Virginia,8887,6616,15503,,,,,,,,,,,,,,
2017-03,Wisconsin,19864,16763,36627,,,,,,,,,,,,,,
2017-03,Wyoming,2017,2038,4055,,,,,,,,,,,,,,
2017-02,Alabama,10739,7028,17767,,,,,,,,,,,,,,
2017-02,Alaska,2857,2102,4959,,,,,,,,,,,,,,
2017-02,Arizona,15642,8881,24523,,,,,,,,,,,,,,
2017-02,Arkansas,7974,5938,13912,,,,,,,,,,,,,,
2017-02,California,44363,24987,69350,,,,,,,,,,,,,,
2017-02,Colorado,20958,13477,34435,,,,,,,,,,,,,,
2017-02,Connecticut,6445,2187,8632,,,,,,,,,,,,,,
2017-02,Delaware,2342,1663,4005,,,,,,,,,,,,,,
2017-02,District of Columbia,65,1,66,,,,,,,,,,,,,,
2017-02,Florida,59201,23479,82680,,,,,,,,,,,,,,
2017-02,Georgia,19007,9334,28341,,,,,,,,,,,,,,
2017-02,Guam,74,43,117,,,,,,,,,,,,,,
2017-02,Hawaii,0,0,0,,,,,,,,,,,,,,
2017-02,Idaho,4051,3904,7955,,,,,,,,,,,,,,
2017-02,Illinois,27418,12635,40053,,,,,,,,,,,,,,
2017-02,Indiana,27343,13221,40564,,,,,,,,,,,,,,
2017-02,Iowa,318,2403,2721,,,,,,,,,,,,,,
2017-02,Kansas,8082,5501,13583,,,,,,,,,,,,,,
2017-02,Kentucky,14975,8636,23611,,,,,,,,,,,,,,
2017-02,Louisiana,12698,7601,20299,,,,,,,,,,,,,,
2017-02,Maine,3758,2544,6302,,,,,,,,,,,,,,
2017-02,Mariana Islands,0,0,0,,,,,,,,,,,,,,
2017-02,Maryland,4925,5534,10459,,,,,,,,,,,,,,
2017-02,Massachusetts,6280,2901,9181,,,,,,,,,,,,,,
2017-02,Michigan,15564,9804,25368,,,,,,,,,,,,,,
2017-02,Minnesota,12047,9641,21688,,,,,,,,,,,,,,
2017-02,Mississippi,11285,6045,17330,,,,,,,,,,,,,,
2017-02,Missouri,26726,16012,42738,,,,,,,,,,,,,,
2017-02,Montana,2912,3429,6341,,,,,,,,,,,,,,
2017-02,Nebraska,171,1937,2108,,,,,,,,,,,,,,
2017-02,Nevada,5644,2732,8376,,,,,,,,,,,,,,
2017-02,New Hampshire,6092,3098,9190,,,,,,,,,,,,,,
2017-02,New Jersey,5904,3481,9385,,,,,,,,,,,,,,
2017-02,New Mexico,7032,4632,11664,,,,,,,,,,,,,,
2017-02,New York,11465,14080,25545,,,,,,,,,,,,,,
2017-02,North Carolina,1410,13488,14898,,,,,,,,,,,,,,
2017-02,North Dakota,1807,2213,4020,,,,,,,,,,,,,,
2017-02,Ohio,36244,18068,54312,,,,,,,,,,,,,,
2017-02,Oklahoma,14051,9769,23820,,,,,,,,,,,,,,
2017-02,Oregon,16425,11726,28151,,,,,,,,,,,,,,
2017-02,Pennsylvania,54107,12734,66841,,,,,,,,,,,,,,
2017-02,Puerto Rico,1000,197,1197,,,,,,,,,,,,,,
2017-02,Rhode Island,1278,731,2009,,,,,,,,,,,,,,
2017-02,South Carolina,12510,6324,18834,,,,,,,,,,,,,,
2017-02,South Dakota,3569,3533,7102,,,,,,,,,,,,,,
2017-02,Tennessee,31982,16425,48407,,,,,,,,,,,,,,
2017-02,Texas,56786,33238,90024,,,,,,,,,,,,,,
2017-02,Utah,4371,4252,8623,,,,,,,,,,,,,,
2017-02,Vermont,1885,1538,3423,,,,,,,,,,,,,,
2017-02,Virgin Islands,26,8,34,,,,,,,,,,,,,,
2017-02,Virginia,28434,16587,45021,,,,,,,,,,,,,,
2017-02,Washington,18785,11860,30645,,,,,,,,,,,,,,
2017-02,West Virginia,8917,6203,15120,,,,,,,,,,,,,,
2017-02,Wisconsin,18147,12247,30394,,,,,,,,,,,,,,
2017-02,Wyoming,1839,1646,3485,,,,,,,,,,,,,,
2017-01,Alabama,6770,6572,13342,,,,,,,,,,,,,,
2017-01,Alaska,2028,1631,3659,,,,,,,,,,,,,,
2017-01,Arizona,12108,7353,19461,,,,,,,,,,,,,,
2017-01,Arkansas,5174,5278,10452,,,,,,,,,,,,,,
2017-01,California,41516,22686,64202,,,,,,,,,,,,,,
2017-01,Colorado,17189,11864,29053,,,,,,,,,,,,,,
2017-01,Connecticut,6133,2115,8248,,,,,,,,,,,,,,
2017-01,Delaware,1815,1466,3281,,,,,,,,,,,,,,
2017-01,District of Columbia,69,6,75,,,,,,,,,,,,,,
2017-01,Florida,51599,21867,73466,,,,,,,,,,,,,,
2017-01,Georgia,12519,7945,20464,,,,,,,,,,,,,,
2017-01,Guam,118,66,184,,,,,,,,,,,,,,
2017-01,Hawaii,0,0,0,,,,,,,,,,,,,,
2017-01,Idaho,2617,3049,5666,,,,,,,,,,,,,,
2017-01,Illinois,24594,11185,35779,,,,,,,,,,,,,,
2017-01,Indiana,21284,11456,32740,,,,,,,,,,,,,,
2017-01,Iowa,180,2015,2195,,,,,,,,,,,,,,
2017-01,Kansas,5798,4969,10767,,,,,,,,,,,,,,
2017-01,Kentucky,9743,6700,16443,,,,,,,,,,,,,,
2017-01,Louisiana,10709,8701,19410,,,,,,,,,,,,,,
2017-01,Maine,3094,2447,5541,,,,,,,,,,,,,,
2017-01,Mariana Islands,0,2,2,,,,,,,,,,,,,,
2017-01,Maryland,4456,5254,9710,,,,,,,,,,,,,,
2017-01,Massachusetts,6069,2871,8940,,,,,,,,,,,,,,
2017-01,Michigan,10181,7490,17671,,,,,,,,,,,,,,
2017-01,Minnesota,9389,7266,16655,,,,,,,,,,,,,,
2017-01,Mississippi,6805,5592,12397,,,,,,,,,,,,,,
2017-01,Missouri,20123,13512,33635,,,,,,,,,,,,,,
2017-01,Montana,2015,2748,4763,,,,,,,,,,,,,,
2017-01,Nebraska,141,1673,1814,,,,,,,,,,,,,,
2017-01,Nevada,4235,2361,6596,,,,,,,,,,,,,,
2017-01,New Hampshire,5332,2836,8168,,,,,,,,,,,,,,
2017-01,New Jersey,5719,3355,9074,,,,,,,,,,,,,,
2017-01,New Mexico,4781,3641,8422,,,,,,,,,,,,,,
2017-01,New York,11059,13412,24471,,,,,,,,,,,,,,
2017-01,North Carolina,1073,11218,12291,,,,,,,,,,,,,,
2017-01,North Dakota,1370,1892,3262,,,,,,,,,,,,,,
2017-01,Ohio,27124,15070,42194,,,,,,,,,,,,,,
2017-01,Oklahoma,10811,8883,19694,,,,,,,,,,,,,,
2017-01,Oregon,12071,8985,21056,,,,,,,,,,,,,,
2017-01,Pennsylvania,44199,10689,54888,,,,,,,,,,,,,,
2017-01,Puerto Rico,1072,181,1253,,,,,,,,,,,,,,
2017-01,Rhode Island,1196,687,1883,,,,,,,,,,,,,,
2017-01,South Carolina,9374,5678,15052,,,,,,,,,,,,,,
2017-01,South Dakota,2371,2803,5174,,,,,,,,,,,,,,
2017-01,Tennessee,23009,13583,36592,,,,,,,,,,,,,,
2017-01,Texas,42697,31314,74011,,,,,,,,,,,,,,
2017-01,Utah,3031,2961,5992,,,,,,,,,,,,,,
2017-01,Vermont,1338,1214,2552,,,,,,,,,,,,,,
2017-01,Virgin Islands,17,9,26,,,,,,,,,,,,,,
2017-01,Virginia,21375,14319,35694,,,,,,,,,,,,,,
2017-01,Washington,15595,9913,25508,,,,,,,,,,,,,,
2017-01,West Virginia,5837,4995,10832,,,,,,,,,,,,,,
2017-01,Wisconsin,12346,8888,21234,,,,,,,,,,,,,,
2017-01,Wyoming,1329,1433,2762,,,,,,,,,,,,,,
2016-12,Alabama,13733,17519,31252,,,,,,,,,,,,,,
2016-12,Alaska,4087,3698,7785,,,,,,,,,,,,,,
2016-12,Arizona,18024,13785,31809,,,,,,,,,,,,,,
2016-12,Arkansas,9192,13433,22625,,,,,,,,,,,,,,
2016-12,California,63649,93224,156873,,,,,,,,,,,,,,
2016-12,Colorado,25905,21134,47039,,,,,,,,,,,,,,
2016-12,Connecticut,8003,3153,11156,,,,,,,,,,,,,,
2016-12,Delaware,2689,2981,5670,,,,,,,,,,,,,,
2016-12,District of Columbia,60,5,65,,,,,,,,,,,,,,
2016-12,Florida,69842,39880,109722,,,,,,,,,,,,,,
2016-12,Georgia,23875,22613,46488,,,,,,,,,,,,,,
2016-12,Guam,105,51,156,,,,,,,,,,,,,,
2016-12,Hawaii,0,0,0,,,,,,,,,,,,,,
2016-12,Idaho,5471,7074,12545,,,,,,,,,,,,,,
2016-12,Illinois,29658,17164,46822,,,,,,,,,,,,,,
2016-12,Indiana,30248,21688,51936,,,,,,,,,,,,,,
2016-12,Iowa,391,4822,5213,,,,,,,,,,,,,,
2016-12,Kansas,8494,10473,18967,,,,,,,,,,,,,,
2016-12,Kentucky,17311,16766,34077,,,,,,,,,,,,,,
2016-12,Louisiana,18412,22848,41260,,,,,,,,,,,,,,
2016-12,Maine,4641,4713,9354,,,,,,,,,,,,,,
2016-12,Mariana Islands,0,0,0,,,,,,,,,,,,,,
2016-12,Maryland,4925,8870,13795,,,,,,,,,,,,,,
2016-12,Massachusetts,7050,3884,10934,,,,,,,,,,,,,,
2016-12,Michigan,14879,14328,29207,,,,,,,,,,,,,,
2016-12,Minnesota,12431,12851,25282,,,,,,,,,,,,,,
2016-12,Mississippi,13168,17231,30399,,,,,,,,,,,,,,
2016-12,Missouri,29770,27013,56783,,,,,,,,,,,,,,
2016-12,Montana,3822,5832,9654,,,,,,,,,,,,,,
2016-12,Nebraska,268,3697,3965,,,,,,,,,,,,,,
2016-12,Nevada,6783,4696,11479,,,,,,,,,,,,,,
2016-12,New Hampshire,6625,4225,10850,,,,,,,,,,,,,,
2016-12,New Jersey,5394,4979,10373,,,,,,,,,,,,,,
2016-12,New Mexico,7484,7149,14633,,,,,,,,,,,,,,
2016-12,New York,12074,22585,34659,,,,,,,,,,,,,,
2016-12,North Carolina,2163,28023,30186,,,,,,,,,,,,,,
2016-12,North Dakota,1799,2927,4726,,,,,,,,,,,,,,
2016-12,Ohio,40996,29641,70637,,,,,,,,,,,,,,
2016-12,Oklahoma,17990,19418,37408,,,,,,,,,,,,,,
2016-12,Oregon,18931,16010,34941,,,,,,,,,,,,,,
2016-12,Pennsylvania,64220,18688,82908,,,,,,,,,,,,,,
2016-12,Puerto Rico,1334,256,1590,,,,,,,,,,,,,,
2016-12,Rhode Island,1283,953,2236,,,,,,,,,,,,,,
2016-12,South Carolina,15600,14782,30382,,,,,,,,,,,,,,
2016-12,South Dakota,3525,5131,8656,,,,,,,,,,,,,,
2016-12,Tennessee,36917,30997,67914,,,,,,,,,,,,,,
2016-12,Texas,69163,69272,138435,,,,,,,,,,,,,,
2016-12,Utah,6428,9257,15685,,,,,,,,,,,,,,
2016-12,Vermont,1802,1998,3800,,,,,,,,,,,,,,
2016-12,Virgin Islands,15,5,20,,,,,,,,,,,,,,
2016-12,Virginia,32572,27619,60191,,,,,,,,,,,,,,
2016-12,Washington,21835,16484,38319,,,,,,,,,,,,,,
2016-12,West Virginia,10869,11628,22497,,,,,,,,,,,,,,
2016-12,Wisconsin,16521,15036,31557,,,,,,,,,,,,,,
2016-12,Wyoming,2540,2984,5524,,,,,,,,,,,,,,
2016-11,Alabama,10214,13470,23684,,,,,,,,,,,,,,
2016-11,Alaska,3396,4019,7415,,,,,,,,,,,,,,
2016-11,Arizona,14850,11994,26844,,,,,,,,,,,,,,
2016-11,Arkansas,7226,11866,19092,,,,,,,,,,,,,,
2016-11,California,56932,82554,139486,,,,,,,,,,,,,,
2016-11,Colorado,24052,19794,43846,,,,,,,,,,,,,,
2016-11,Connecticut,7063,3258,10321,,,,,,,,,,,,,,
2016-11,Delaware,2490,2751,5241,,,,,,,,,,,,,,
2016-11,District of Columbia,49,5,54,,,,,,,,,,,,,,
2016-11,Florida,62351,35718,98069,,,,,,,,,,,,,,
2016-11,Georgia,18011,16759,34770,,,,,,,,,,,,,,
2016-11,Guam,104,54,158,,,,,,,,,,,,,,
2016-11,Hawaii,0,0,0,,,,,,,,,,,,,,
2016-11,Idaho,4711,6175,10886,,,,,,,,,,,,,,
2016-11,Illinois,28463,19005,47468,,,,,,,,,,,,,,
2016-11,Indiana,25246,23336,48582,,,,,,,,,,,,,,
2016-11,Iowa,399,5112,5511,,,,,,,,,,,,,,
2016-11,Kansas,8136,9854,17990,,,,,,,,,,,,,,
2016-11,Kentucky,12847,14844,27691,,,,,,,,,,,,,,
2016-11,Louisiana,14674,18349,33023,,,,,,,,,,,,,,
2016-11,Maine,4135,5097,9232,,,,,,,,,,,,,,
2016-11,Mariana Islands,0,4,4,,,,,,,,,,,,,,
2016-11,Maryland,5356,9509,14865,,,,,,,,,,,,,,
2016-11,Massachusetts,7117,4783,11900,,,,,,,,,,,,,,
2016-11,Michigan,15803,18241,34044,,,,,,,,,,,,,,
2016-11,Minnesota,12338,15597,27935,,,,,,,,,,,,,,
2016-11,Mississippi,9382,13481,22863,,,,,,,,,,,,,,
2016-11,Missouri,23719,26338,50057,,,,,,,,,,,,,,
2016-11,Montana,3093,5546,8639,,,,,,,,,,,,,,
2016-11,Nebraska,216,3688,3904,,,,,,,,,,,,,,
2016-11,Nevada,6338,4291,10629,,,,,,,,,,,,,,
2016-11,New Hampshire,6283,4822,11105,,,,,,,,,,,,,,
2016-11,New Jersey,5398,5720,11118,,,,,,,,,,,,,,
2016-11,New Mexico,6153,6034,12187,,,,,,,,,,,,,,
2016-11,New York,11157,25229,36386,,,,,,,,,,,,,,
2016-11,North Carolina,1709,23215,24924,,,,,,,,,,,,,,
2016-11,North Dakota,1827,3546,5373,,,,,,,,,,,,,,
2016-11,Ohio,37304,32312,69616,,,,,,,,,,,,,,
2016-11,Oklahoma,16348,17019,33367,,,,,,,,,,,,,,
2016-11,Oregon,17013,15711,32724,,,,,,,,,,,,,,
2016-11,Pennsylvania,66188,20487,86675,,,,,,,,,,,,,,
2016-11,Puerto Rico,1323,204,1527,,,,,,,,,,,,,,
2016-11,Rhode Island,1271,1065,2336,,,,,,,,,,,,,,
2016-11,South Carolina,12839,11547,24386,,,,,,,,,,,,,,
2016-11,South Dakota,3456,5677,9133,,,,,,,,,,,,,,
2016-11,Tennessee,29502,25976,55478,,,,,,,,,,,,,,
2016-11,Texas,58778,56057,114835,,,,,,,,,,,,,,
2016-11,Utah,5232,7021,12253,,,,,,,,,,,,,,
2016-11,Vermont,1342,1975,3317,,,,,,,,,,,,,,
2016-11,Virgin Islands,17,5,22,,,,,,,,,,,,,,
2016-11,Virginia,29544,26823,56367,,,,,,,,,,,,,,
2016-11,Washington,19534,16266,35800,,,,,,,,,,,,,,
2016-11,West Virginia,7824,11134,18958,,,,,,,,,,,,,,
2016-11,Wisconsin,17580,19631,37211,,,,,,,,,,,,,,
2016-11,Wyoming,2097,2691,4788,,,,,,,,,,,,,,
2016-10,Alabama,7757,8865,16622,,,,,,,,,,,,,,
2016-10,Alaska,3906,3949,7855,,,,,,,,,,,,,,
2016-10,Arizona,12405,9382,21787,,,,,,,,,,,,,,
2016-10,Arkansas,5607,8235,13842,,,,,,,,,,,,,,
2016-10,California,45785,54333,100118,,,,,,,,,,,,,,
2016-10,Colorado,20343,16962,37305,,,,,,,,,,,,,,
2016-10,Connecticut,6374,2698,9072,,,,,,,,,,,,,,
2016-10,Delaware,2070,2082,4152,,,,,,,,,,,,,,
2016-10,District of Columbia,59,2,61,,,,,,,,,,,,,,
2016-10,Florida,50003,27010,77013,,,,,,,,,,,,,,
2016-10,Georgia,13799,12262,26061,,,,,,,,,,,,,,
2016-10,Guam,127,72,199,,,,,,,,,,,,,,
2016-10,Hawaii,0,0,0,,,,,,,,,,,,,,
2016-10,Idaho,3913,5787,9700,,,,,,,,,,,,,,
2016-10,Illinois,33986,14739,48725,,,,,,,,,,,,,,
2016-10,Indiana,21058,16857,37915,,,,,,,,,,,,,,
2016-10,Iowa,221,3557,3778,,,,,,,,,,,,,,
2016-10,Kansas,6527,6775,13302,,,,,,,,,,,,,,
2016-10,Kentucky,10111,10030,20141,,,,,,,,,,,,,,
2016-10,Louisiana,11865,13673,25538,,,,,,,,,,,,,,
2016-10,Maine,4320,6926,11246,,,,,,,,,,,,,,
2016-10,Mariana Islands,0,1,1,,,,,,,,,,,,,,
2016-10,Maryland,4280,6786,11066,,,,,,,,,,,,,,
2016-10,Massachusetts,6415,3680,10095,,,,,,,,,,,,,,
2016-10,Michigan,12680,13539,26219,,,,,,,,,,,,,,
2016-10,Minnesota,11394,18553,29947,,,,,,,,,,,,,,
2016-10,Mississippi,7564,8323,15887,,,,,,,,,,,,,,
2016-10,Missouri,21994,20919,42913,,,,,,,,,,,,,,
2016-10,Montana,3035,6689,9724,,,,,,,,,,,,,,
2016-10,Nebraska,144,2817,2961,,,,,,,,,,,,,,
2016-10,Nevada,5614,3471,9085,,,,,,,,,,,,,,
2016-10,New Hampshire,5968,4672,10640,,,,,,,,,,,,,,
2016-10,New Jersey,5391,4567,9958,,,,,,,,,,,,,,
2016-10,New Mexico,5449,4826,10275,,,,,,,,,,,,,,
2016-10,New York,10820,21094,31914,,,,,,,,,,,,,,
2016-10,North Carolina,1353,15980,17333,,,,,,,,,,,,,,
2016-10,North Dakota,1674,4451,6125,,,,,,,,,,,,,,
2016-10,Ohio,30593,21991,52584,,,,,,,,,,,,,,
2016-10,Oklahoma,11560,11325,22885,,,,,,,,,,,,,,
2016-10,Oregon,14749,13412,28161,,,,,,,,,,,,,,
2016-10,Pennsylvania,56836,16223,73059,,,,,,,,,,,,,,
2016-10,Puerto Rico,1165,194,1359,,,,,,,,,,,,,,
2016-10,Rhode Island,1162,950,2112,,,,,,,,,,,,,,
2016-10,South Carolina,9270,7797,17067,,,,,,,,,,,,,,
2016-10,South Dakota,3127,6859,9986,,,,,,,,,,,,,,
2016-10,Tennessee,23542,18514,42056,,,,,,,,,,,,,,
2016-10,Texas,46518,44519,91037,,,,,,,,,,,,,,
2016-10,Utah,3588,4603,8191,,,,,,,,,,,,,,
2016-10,Vermont,1485,2099,3584,,,,,,,,,,,,,,
2016-10,Virgin Islands,16,13,29,,,,,,,,,,,,,,
2016-10,Virginia,24337,20433,44770,,,,,,,,,,,,,,
2016-10,Washington,18601,15455,34056,,,,,,,,,,,,,,
2016-10,West Virginia,6721,7737,14458,,,,,,,,,,,,,,
2016-10,Wisconsin,15514,17376,32890,,,,,,,,,,,,,,
2016-10,Wyoming,1709,2307,4016,,,,,,,,,,,,,,
2016-09,Alabama,7125,8449,15574,,,,,,,,,,,,,,
2016-09,Alaska,2654,3126,5780,,,,,,,,,,,,,,
2016-09,Arizona,11769,8951,20720,,,,,,,,,,,,,,
2016-09,Arkansas,4802,6284,11086,,,,,,,,,,,,,,
2016-09,California,39213,43015,82228,,,,,,,,,,,,,,
2016-09,Colorado,17390,14521,31911,,,,,,,,,,,,,,
2016-09,Connecticut,5424,2472,7896,,,,,,,,,,,,,,
2016-09,Delaware,1759,1894,3653,,,,,,,,,,,,,,
2016-09,District of Columbia,46,4,50,,,,,,,,,,,,,,
2016-09,Florida,45848,22439,68287,,,,,,,,,,,,,,
2016-09,Georgia,12258,9766,22024,,,,,,,,,,,,,,
2016-09,Guam,99,63,162,,,,,,,,,,,,,,
2016-09,Hawaii,0,0,0,,,,,,,,,,,,,,
2016-09,Idaho,3124,5230,8354,,,,,,,,,,,,,,
2016-09,Illinois,20298,11876,32174,,,,,,,,,,,,,,
2016-09,Indiana,17402,13402,30804,,,,,,,,,,,,,,
2016-09,Iowa,154,2694,2848,,,,,,,,,,,,,,
2016-09,Kansas,4903,5614,10517,,,,,,,,,,,,,,
2016-09,Kentucky,8917,8172,17089,,,,,,,,,,,,,,
2016-09,Louisiana,12875,13747,26622,,,,,,,,,,,,,,
2016-09,Maine,3841,5203,9044,,,,,,,,,,,,,,
2016-09,Mariana Islands,0,1,1,,,,,,,,,,,,,,
2016-09,Maryland,3626,5428,9054,,,,,,,,,,,,,,
2016-09,Massachusetts,5584,3210,8794,,,,,,,,,,,,,,
2016-09,Michigan,10056,11311,21367,,,,,,,,,,,,,,
2016-09,Minnesota,9548,16213,25761,,,,,,,,,,,,,,
2016-09,Mississippi,6904,6592,13496,,,,,,,,,,,,,,
2016-09,Missouri,17808,15528,33336,,,,,,,,,,,,,,
2016-09,Montana,2702,5404,8106,,,,,,,,,,,,,,
2016-09,Nebraska,104,2144,2248,,,,,,,,,,,,,,
2016-09,Nevada,4281,2764,7045,,,,,,,,,,,,,,
2016-09,New Hampshire,5100,3766,8866,,,,,,,,,,,,,,
2016-09,New Jersey,5249,3864,9113,,,,,,,,,,,,,,
2016-09,New Mexico,4793,4277,9070,,,,,,,,,,,,,,
2016-09,New York,9700,17804,27504,,,,,,,,,,,,,,
2016-09,North Carolina,1068,14018,15086,,,,,,,,,,,,,,
2016-09,North Dakota,1273,3381,4654,,,,,,,,,,,,,,
2016-09,Ohio,24297,18038,42335,,,,,,,,,,,,,,
2016-09,Oklahoma,9638,10003,19641,,,,,,,,,,,,,,
2016-09,Oregon,13325,13046,26371,,,,,,,,,,,,,,
2016-09,Pennsylvania,46101,12697,58798,,,,,,,,,,,,,,
2016-09,Puerto Rico,1110,213,1323,,,,,,,,,,,,,,
2016-09,Rhode Island,1031,767,1798,,,,,,,,,,,,,,
2016-09,South Carolina,8725,7088,15813,,,,,,,,,,,,,,
2016-09,South Dakota,2530,4663,7193,,,,,,,,,,,,,,
2016-09,Tennessee,20721,15120,35841,,,,,,,,,,,,,,
2016-09,Texas,37858,42308,80166,,,,,,,,,,,,,,
2016-09,Utah,2918,4440,7358,,,,,,,,,,,,,,
2016-09,Vermont,1233,1701,2934,,,,,,,,,,,,,,
2016-09,Virgin Islands,25,7,32,,,,,,,,,,,,,,
2016-09,Virginia,20325,16687,37012,,,,,,,,,,,,,,
2016-09,Washington,15261,13621,28882,,,,,,,,,,,,,,
2016-09,West Virginia,6122,6495,12617,,,,,,,,,,,,,,
2016-09,Wisconsin,13271,14796,28067,,,,,,,,,,,,,,
2016-09,Wyoming,1521,2207,3728,,,,,,,,,,,,,,
2016-08,Alabama,8243,7808,16051,,,,,,,,,,,,,,
2016-08,Alaska,2725,3484,6209,,,,,,,,,,,,,,
2016-08,Arizona,12069,8601,20670,,,,,,,,,,,,,,
2016-08,Arkansas,5666,6108,11774,,,,,,,,,,,,,,
2016-08,California,43344,43552,86896,,,,,,,,,,,,,,
2016-08,Colorado,18116,14054,32170,,,,,,,,,,,,,,
2016-08,Connecticut,9929,3941,13870,,,,,,,,,,,,,,
2016-08,Delaware,1662,1562,3224,,,,,,,,,,,,,,
2016-08,District of Columbia,56,3,59,,,,,,,,,,,,,,
2016-08,Florida,49867,23359,73226,,,,,,,,,,,,,,
2016-08,Georgia,12627,9187,21814,,,,,,,,,,,,,,
2016-08,Guam,95,54,149,,,,,,,,,,,,,,
2016-08,Hawaii,0,0,0,,,,,,,,,,,,,,
2016-08,Idaho,3194,4214,7408,,,,,,,,,,,,,,
2016-08,Illinois,60745,30602,91347,,,,,,,,,,,,,,
2016-08,Indiana,18906,13606,32512,,,,,,,,,,,,,,
2016-08,Iowa,182,2345,2527,,,,,,,,,,,,,,
2016-08,Kansas,4987,5437,10424,,,,,,,,,,,,,,
2016-08,Kentucky,8842,7187,16029,,,,,,,,,,,,,,
2016-08,Louisiana,13082,10527,23609,,,,,,,,,,,,,,
2016-08,Maine,3294,3546,6840,,,,,,,,,,,,,,
2016-08,Mariana Islands,0,2,2,,,,,,,,,,,,,,
2016-08,Maryland,4249,5109,9358,,,,,,,,,,,,,,
2016-08,Massachusetts,5601,2915,8516,,,,,,,,,,,,,,
2016-08,Michigan,10650,9117,19767,,,,,,,,,,,,,,
2016-08,Minnesota,9391,11884,21275,,,,,,,,,,,,,,
2016-08,Mississippi,11193,9085,20278,,,,,,,,,,,,,,
2016-08,Missouri,18394,15365,33759,,,,,,,,,,,,,,
2016-08,Montana,2882,4487,7369,,,,,,,,,,,,,,
2016-08,Nebraska,126,1805,1931,,,,,,,,,,,,,,
2016-08,Nevada,4676,2629,7305,,,,,,,,,,,,,,
2016-08,New Hampshire,4732,3421,8153,,,,,,,,,,,,,,
2016-08,New Jersey,5541,3962,9503,,,,,,,,,,,,,,
2016-08,New Mexico,5170,4224,9394,,,,,,,,,,,,,,
2016-08,New York,10716,14278,24994,,,,,,,,,,,,,,
2016-08,North Carolina,1208,12513,13721,,,,,,,,,,,,,,
2016-08,North Dakota,1284,2601,3885,,,,,,,,,,,,,,
2016-08,Ohio,26261,17526,43787,,,,,,,,,,,,,,
2016-08,Oklahoma,10881,9762,20643,,,,,,,,,,,,,,
2016-08,Oregon,12661,10173,22834,,,,,,,,,,,,,,
2016-08,Pennsylvania,46155,11700,57855,,,,,,,,,,,,,,
2016-08,Puerto Rico,1073,234,1307,,,,,,,,,,,,,,
2016-08,Rhode Island,1039,770,1809,,,,,,,,,,,,,,
2016-08,South Carolina,8828,6906,15734,,,,,,,,,,,,,,
2016-08,South Dakota,2387,3559,5946,,,,,,,,,,,,,,
2016-08,Tennessee,22737,16198,38935,,,,,,,,,,,,,,
2016-08,Texas,42302,40269,82571,,,,,,,,,,,,,,
